,title,year,certificate,runtime,genre,rating
2700,Maska,I 2020,16,111 min,"Comedy, Drama, Romance            ",5.9
2701,Supreme Motherhood: The Journey of Mata Sahib Kaur,2022,UA,100 min,"Animation, Adventure, History            ",4.2
2702,Ekda Kaay Zala,2022,U,130 min,"Drama, Family            ",7.6
2703,Thattathin Marayathu,2012,U,127 min,"Drama, Romance            ",7.4
2704,Ferrari Ki Sawaari,2012,U,140 min,"Comedy, Drama, Family            ",7.5
2705,Amrutham,2001–2007,U,24 min,Comedy            ,2.8
2706,G - Zombie,2021,UA,116 min,Sci-Fi            ,5.2
2707,Padikkathavan,2009,UA,163 min,Action            ,8.7
2708,Kadhalum Kadanthu Pogum,2016,U,136 min,"Comedy, Drama, Romance            ",4.6
2709,Sarvam Thaala Mayam,2018,U,131 min,"Drama, Music            ",7.8
2710,Neethaane En Ponvasantham,2012,U,153 min,"Drama, Romance            ",8.0
2711,Yaan,2014,U,153 min,"Action, Thriller            ",7.2
2712,Teen Devian,1965,A,121 min,"Musical, Romance            ",4.7
2713,Kalaakaar,1983,U,144 min,"Family, Romance            ",8.0
2714,Aakrosh,1980,A,144 min,"Crime, Drama, Music            ",4.6
2715,Monsoon Shootout,2013,UA,92 min,"Action, Crime, Drama            ",6.4
2716,Kathakali,I 2016,U,125 min,"Action, Crime, Drama            ",7.3
2717,Naan Mirugamaai Maara,2022,A,128 min,Action            ,9.0
2718,Super Singh,2017,UA,155 min,"Action, Comedy, Fantasy            ",7.5
2719,Why Cheat India,2019,UA,121 min,"Comedy, Crime, Drama            ",8.8
2720,Vaashi,2022,U,155 min,"Drama, Thriller            ",4.6
2721,Kulche Chole,2022,UA,126 min,"Comedy, Romance            ",8.0
2722,James,I 2022,UA,149 min,"Action, Comedy, Drama            ",7.2
2723,TuHiRe,2015,UA,130 min,"Drama, Romance            ",9.0
2724,Miley Jab Hum Tum,2008–2010,PG,20 min,Romance            ,4.5
2725,Satyam Shivam Sundaram: Love Sublime,1978,A,172 min,"Drama, Romance            ",8.2
2726,8 Thottakkal,2017,U,145 min,"Action, Crime, Thriller            ",6.0
2727,Jhalle,2019,UA,129 min,Comedy            ,3.6
2728,Ferrous,2022,18,140 min,Crime            ,5.8
2729,Daddy,I 2001,U,157 min,Drama            ,7.7
2730,Shikari,2018,A,109 min,"Comedy, Drama            ",5.2
2731,Haseena Parkar,2017,UA,135 min,"Biography, Crime, Drama            ",6.2
2732,Unpaused: Naya Safar,2022–,UA 16+,29 min,Drama            ,8.7
2733,Paanch,2003,(Banned),130 min,"Crime, Thriller            ",5.8
2734,Rachcha,2012,UA,143 min,Action            ,6.9
2735,Chakravyuha,2016,UA,124 min,"Action, Thriller            ",7.2
2736,Do Ankhen Barah Haath,1957,U,143 min,"Comedy, Crime, Drama            ",3.4
2737,Insaf Ka Tarazu,1980,A,146 min,"Crime, Drama            ",3.3
2738,Shikari,2016,U,145 min,"Action, Crime, Drama            ",7.1
2739,Poorna,2017,UA,100 min,"Action, Adventure, Biography            ",6.2
2740,Simon Daniel,2022,UA,122 min,"Adventure, Drama, Mystery            ",10.0
2741,Shool,1999,A,138 min,"Action, Crime, Drama            ",8.5
2742,Saathi,1991,A,175 min,"Action, Crime, Drama            ",7.0
2743,Aay Khuku Aay,2022,U,128 min,Drama            ,6.8
2744,Tony,I 2018,UA,124 min,Thriller            ,5.7
2745,Helmet,I 2021,UA,104 min,"Comedy, Drama            ",8.0
2746,Atithi Bhooto Bhava,2022,UA 13+,114 min,"Comedy, Drama, Romance            ",6.1
2747,Rang Rasiya,2008,A,132 min,"Biography, Drama, Romance            ",6.6
2748,19 1 a,2022,UA 7+,108 min,Drama            ,8.5
2749,Kanthaswamy,2009,UA,190 min,"Action, Adventure, Crime            ",8.0
2750,Tum Mile,2009,U,140 min,"Drama, Romance            ",7.6
2751,Tees Maar Khan,2010,UA,135 min,"Comedy, Crime            ",8.3
2752,Kaanekkaane,2021,UA 7+,120 min,"Drama, Thriller            ",7.4
2753,Attention Please,2021,UA 13+,118 min,Thriller            ,8.3
2754,Girlfriend,2004,A,126 min,Drama            ,6.2
2755,Aamhi Jato Amuchya Gava,1968,U,133 min,Drama            ,6.5
2756,Surya,2021,UA,34 min,Drama            ,7.4
2757,Tere Layi,2022,U,126 min,Romance            ,5.9
2758,Eedo Rakam Aado Rakam,2016,UA,129 min,"Comedy, Romance            ",7.3
2759,Pitta Goda,2016,U,113 min,Drama            ,7.9
2760,Oru Vadakkan Veeragatha,1989,U,168 min,"Drama, History            ",5.8
2761,Maryan,2013,U,150 min,"Action, Drama, Romance            ",7.3
2762,Ayee Milan Ki Raat,1991,U,152 min,Romance            ,8.1
2763,Yajamana,2019,U,164 min,Action            ,8.1
2764,Kolaiyuthir Kaalam,2019,UA,100 min,"Drama, Thriller            ",5.2
2765,Sunghursh,1968,U,175 min,"Action, Crime, Drama            ",3.9
2766,Molly Aunty Rocks,2012,U,128 min,Drama            ,8.7
2767,100,I 2019,UA,141 min,Action            ,8.2
2768,Prem Amar,2009,U,140 min,Romance            ,5.2
2769,Police Aur Mujrim,1992,UA,146 min,"Action, Musical, Romance            ",6.6
2770,Mumbai Meri Jaan,2008,A,134 min,Drama            ,3.6
2771,Testing Movie1,2015,PG,156 min,"Animation, Adventure, Family            ",7.6
2772,Ishq Subhan Allah,2018–,U,20 min,"Drama, Romance            ",6.3
2773,Ek Aur Ek Gyarah: By Hook or by Crook,2003,U,144 min,"Action, Comedy, Crime            ",8.6
2774,Mr. Airavata,2015,UA,157 min,Action            ,2.6
2775,Darling,I 2021,UA,150 min,Comedy            ,5.5
2776,Kalakalapu 2,2018,UA,154 min,"Comedy, Drama            ",4.4
2777,Jurm,1990,A,103 min,"Action, Crime, Romance            ",5.4
2778,Ayogya,2019,UA,146 min,"Action, Crime, Drama            ",6.6
2779,Kalki,I 2019,UA,141 min,"Action, Comedy, Crime            ",6.7
2780,Jackpot,II 2013,A,132 min,"Comedy, Thriller            ",4.7
2781,Daku Ramkali,2000,A,134 min,"Adventure, Drama, Musical            ",7.3
2782,Moothon,2019,UA,125 min,"Action, Crime, Drama            ",6.8
2783,Family Drama,2021,A,132 min,Drama            ,3.6
2784,Utsav,1984,A,145 min,"Drama, Music, Romance            ",6.9
2785,Veetla Vishesham,2022,U,130 min,"Comedy, Drama, Family            ",6.5
2786,Jungle Cry,2022,UA 13+,117 min,"Drama, Sport            ",6.2
2787,Ascharyachakit!,2018,18,90 min,"Drama, Romance            ",7.4
2788,Janatha Garage,2016,UA,162 min,"Action, Crime, Drama            ",6.9
2789,Yaariyan,2014,UA,145 min,"Drama, Romance            ",6.2
2790,Uttaran,2008–,13,20 min,Drama            ,8.1
2791,Ramanujan,2014,U,153 min,"Biography, Drama, History            ",5.4
2792,Kasturi,2007–2010,UA 13+,20 min,Drama            ,7.9
2793,Kalakalappu,2012,U,135 min,Comedy            ,7.4
2794,Lai Bhaari,2014,U,157 min,Action            ,4.1
2795,Tera Intezaar,2017,A,108 min,"Romance, Thriller            ",7.2
2796,LIE,2017,UA,145 min,"Action, Adventure, Thriller            ",6.6
2797,The Eken,2022,UA,132 min,"Comedy, Crime, Mystery            ",4.7
2798,Sunday Holiday,2017,U,135 min,"Comedy, Drama            ",6.4
2799,Tsunami,I 2021,U,122 min,Comedy            ,5.5
2800,Katyar Kaljat Ghusali,2015,U,162 min,Musical            ,4.5
2801,Bewafa Sanam,1995,U,144 min,"Drama, Romance            ",5.6
2802,Singh Saab the Great,2013,UA,134 min,"Action, Drama            ",6.7
2803,Chashme Baddoor,2013,UA,121 min,"Comedy, Drama            ",3.7
2804,Aambala,2015,U,146 min,"Action, Comedy            ",8.8
2805,Kick 2,2015,UA,170 min,"Action, Comedy, Romance            ",7.8
2806,Velvet Nagaram,2020,UA,95 min,Thriller            ,8.8
2807,90 ML,II 2019,A,159 min,"Action, Drama, Romance            ",4.5
2808,Pattathu Arasan,2022,U,136 min,Drama            ,8.8
2809,Saajan,1991,U,193 min,"Drama, Musical, Romance            ",6.7
2810,The Whistleblower,2021–,UA 13+,48 min,"Drama, Thriller            ",4.9
2811,Phobia,I 2016,A,112 min,"Drama, Mystery, Thriller            ",6.2
2812,Ghilli,2004,UA,160 min,"Action, Drama, Romance            ",2.2
2813,Shahenshah,1988,U,175 min,"Action, Adventure            ",5.3
2814,Aan,1952,U,161 min,"Action, Adventure, Drama            ",7.6
2815,Rudra,2018–,7,22 min,Animation            ,5.0
2816,Jack N Jill,2022,UA,125 min,"Comedy, Sci-Fi, Thriller            ",5.3
2817,Gemini Ganeshanum Suruli Raajanum,2017,U,134 min,"Comedy, Crime, Thriller            ",7.7
2818,Partition,2007,R,116 min,"Drama, Romance            ",5.0
2819,Hyper,2016,UA,144 min,"Action, Drama            ",6.4
2820,Mouna Guru,2011,U,153 min,"Action, Thriller            ",7.8
2821,Pinjar: Beyond Boundaries...,2003,A,188 min,Drama            ,4.5
2822,Milenge Milenge,2010,UA,109 min,"Drama, Romance            ",3.6
2823,Filmistaan,2012,U,117 min,Comedy            ,5.1
2824,Shukranu,2020,A,90 min,Drama            ,5.8
2825,Daag: The Fire,1999,A,152 min,"Action, Drama, Thriller            ",7.9
2826,Raju Gari Gadhi 2,2017,UA,117 min,"Comedy, Horror, Thriller            ",6.4
2827,Good Luck Sakhi,2022,U,130 min,Drama            ,6.8
2828,Rathinirvedam,1978,A,124 min,"Drama, Romance            ",7.4
2829,Meagamann,2014,UA,139 min,"Action, Drama, Thriller            ",6.8
2830,Tigers,2014,Not Rated,94 min,Drama            ,5.0
2831,Desamuduru,2007,UA,148 min,"Action, Drama, Romance            ",8.2
2832,Mundaasupatti,2014,U,148 min,"Comedy, Drama, Romance            ",8.4
2833,Holy Cow,2022,UA,120 min,Comedy            ,5.8
2834,Jawaan,2017,UA,134 min,"Action, Thriller            ",6.4
2835,Rangula Raatnam,2018,U,137 min,Romance            ,7.7
2836,Daud: Fun on the Run,1997,A,180 min,"Action, Adventure, Comedy            ",6.4
2837,Rocky Mental,2017,UA,129 min,"Action, Drama, Thriller            ",6.9
2838,Wah Bhai Wah,2022–,UA 13+,30 min,Comedy            ,7.2
2839,Oru Yamandan Premakadha,2019,U,165 min,"Comedy, Drama, Romance            ",7.2
2840,Shakti: Astitva Ke Ehsaas Ki,2016–2021,13,22 min,Drama            ,3.9
2841,Hera Pheri,1976,U,164 min,"Action, Comedy, Crime            ",2.7
2842,Ricky,2016,UA,137 min,"Romance, Thriller            ",7.2
2843,Julayi,2012,UA,160 min,"Action, Comedy, Crime            ",4.7
2844,F.I.R.,2006–,12+,20 min,Comedy            ,9.7
2845,Anjaan,2014,U,166 min,"Action, Crime, Thriller            ",8.4
2846,Manmatha Leelai,2022,A,111 min,"Comedy, Romance, Thriller            ",4.9
2847,Pathaam Valavu,2022,UA,122 min,"Crime, Drama, Thriller            ",6.1
2848,Naachiyar,2018,UA,100 min,"Action, Drama, Thriller            ",7.6
2849,Happy Go Lucky,2014,U,129 min,Comedy            ,2.5
2850,14 Phere,2021,UA,111 min,"Comedy, Romance            ",5.7
2851,Jo and Jo,2022,U,134 min,"Comedy, Drama            ",3.9
2852,Masoom,1983,U,165 min,Drama            ,8.1
2853,Parahuna,2018,UA,124 min,Comedy            ,3.2
2854,Ambili,2019,U,140 min,"Adventure, Comedy, Drama            ",9.0
2855,Thinkistan,2019–,18,25 min,Drama            ,7.4
2856,Tu Aashiqui,2017–2018,UA,22 min,"Drama, Musical, Romance            ",6.0
2857,Daraar,1996,UA,105 min,"Action, Drama, Romance            ",8.4
2858,The Shaukeens,2014,UA,124 min,Comedy            ,7.8
2859,Shadaa,2019,U,128 min,"Comedy, Music, Romance            ",4.9
2860,JGM (JanaGanaMana),2023,UA,112 min,"Action, Drama            ",5.0
2861,Virgin Bhasskar 2,2020–,A,20 min,"Comedy, Drama            ",6.7
2862,Kallan D'Souza,2022,U,120 min,Comedy            ,7.6
2863,Rajma Chawal,2018,16,117 min,"Comedy, Drama, Family            ",4.7
2864,Udaan,1997,U,128 min,"Action, Crime, Drama            ",4.9
2865,Finding Fanny,2014,UA,102 min,"Adventure, Comedy, Drama            ",9.2
2866,Swaran Ghar,2022,UA 13+,20 min,Drama            ,7.6
2867,Parichay: Nayee Zindagi Kay Sapno Ka,2011–2013,13,20 min,Drama            ,7.7
2868,Bidhilipi,1991,UA,125 min,"Drama, Musical            ",6.7
2869,Bhooter Bhabishyat,2012,UA,123 min,"Comedy, Fantasy, Horror            ",6.8
2870,Chor Bazaar,2022,UA,133 min,Action            ,7.3
2871,Vikrithi,2019,U,123 min,"Comedy, Drama            ",6.5
2872,Badle Ki Aag,1982,U,158 min,"Action, Drama            ",6.9
2873,Kaam Jwala: The Fire,2004,A,73 min,Drama            ,2.6
2874,Hum Hain Kamaal Ke,1993,A,142 min,"Action, Comedy, Crime            ",8.0
2875,Phata Poster Nikhla Hero,2013,U,146 min,"Action, Comedy, Crime            ",6.5
2876,Prince,2010,UA,138 min,"Action, Sci-Fi, Thriller            ",9.3
2877,Bebaakee,2020–,UA,26 min,Drama            ,7.5
2878,Ragini MMS,2011,A,93 min,"Drama, Horror, Mystery            ",5.7
2879,Mumbai Police,2013,U,145 min,"Crime, Mystery, Thriller            ",3.3
2880,Silukkuvarupatti Singam,2018,U,134 min,"Comedy, Drama            ",6.1
2881,Sherni,2021,13,131 min,"Action, Adventure, Drama            ",5.2
2882,Yeh Dillagi,1994,U,155 min,"Comedy, Drama, Musical            ",6.3
2883,Pyaar To Hona Hi Tha,1998,U,156 min,"Comedy, Drama, Romance            ",5.7
2884,Dhadkan,2000,U,161 min,"Drama, Romance            ",6.4
2885,Ready,2011,UA,145 min,"Action, Comedy, Romance            ",7.4
2886,Sooryavansham,1999,U,168 min,"Action, Drama            ",6.1
2887,Caravan,1971,U,161 min,"Action, Comedy, Musical            ",7.5
2888,Chakravyuh,2012,UA,152 min,"Action, Drama, Thriller            ",7.9
2889,Ziddi,1997,A,170 min,"Action, Drama            ",5.9
2890,Shankar Dada MBBS,2004,U,174 min,Comedy            ,7.4
2891,Krishna Gaadi Veera Prema Gaadha,2016,UA,148 min,"Action, Comedy, Romance            ",8.9
2892,Kareeb,1998,U,145 min,"Drama, Romance            ",7.2
2893,Well Done Abba!,2009,UA,144 min,Comedy            ,7.3
2894,Garv: Pride and Honour,2004,A,162 min,"Action, Crime, Drama            ",5.8
2895,Timepass 2,2015,U,145 min,"Comedy, Drama, Romance            ",6.6
2896,Sillu Karuppatti,2019,U,153 min,"Drama, Romance            ",8.5
2897,Kanal,2015,U,156 min,"Action, Crime, Drama            ",4.6
2898,Irada,2017,UA,109 min,"Drama, Mystery, Thriller            ",7.6
2899,Rakhi Purnima,2001,UA,125 min,"Drama, Family, Musical            ",5.8
2900,Kurangu Bommai,2017,UA,106 min,"Crime, Drama, Thriller            ",7.0
2901,Sehar,2005,UA,125 min,"Action, Crime, Drama            ",5.9
2902,Katti Batti,2015,UA,135 min,"Comedy, Drama, Romance            ",5.5
2903,Gamanam,2021,U,114 min,Drama            ,4.2
2904,Uppum Mulakum,2015–2022,U,22 min,"Comedy, Family            ",3.6
2905,Kerosene,2022,UA,120 min,"Action, Crime, Drama            ",8.2
2906,Kokka,2022,UA,131 min,"Drama, Romance            ",5.3
2907,Amazon Obhijaan,2017,UA,140 min,"Action, Adventure            ",7.4
2908,Srinivasa Kalyanam,2018,U,140 min,"Drama, Family            ",8.9
2909,Bhulan the Maze,2022,U,145 min,Drama            ,7.5
2910,Anti Indian,2021,UA,140 min,"Comedy, Drama            ",5.5
2911,Bindiya Sarkar,2022–,Not Rated,20 min,Drama            ,7.8
2912,Avunu Valliddaru Ishtapaddaru,2002,U,150 min,"Comedy, Romance, Drama            ",5.2
2913,Divaswapna,2021,U,130 min,Drama            ,6.6
2914,Oththa Seruppu Size 7,2019,U,120 min,"Drama, Thriller            ",8.3
2915,Love Story,1981,U,161 min,"Drama, Musical, Romance            ",8.1
2916,Natsamrat,2016,U,166 min,"Drama, Family            ",6.3
2917,Love You Too,II 2022,U,155 min,"Drama, Romance            ",7.3
2918,Kis Kisko Pyaar Karoon,2015,U/A,133 min,"Comedy, Romance            ",7.2
2919,C/o Kancharapalem,2018,UA,152 min,Drama            ,4.5
2920,Pokiri,2006,A,164 min,"Action, Crime, Thriller            ",6.9
2921,Teen Yaari Katha,2012,UA,113 min,"Comedy, Drama            ",5.9
2922,My Client's Wife,2020,A,106 min,"Mystery, Thriller            ",3.7
2923,Udhaya,2004,U,122 min,"Action, Drama, Thriller            ",3.8
2924,Comedy Circus,2018–,12+,30 min,Comedy            ,8.9
2925,Pranchiyettan and the Saint,2010,U,140 min,"Comedy, Drama            ",6.5
2926,Tughlaq Durbar,2021,UA 13+,145 min,"Comedy, Drama, Thriller            ",6.0
2927,Zameen,2003,UA,154 min,"Action, Adventure, Thriller            ",7.5
2928,All Is Well,2015,U,126 min,"Comedy, Drama, Romance            ",5.0
2929,Velainu Vandhutta Vellaikaaran,2016,U,138 min,Comedy            ,6.5
2930,Praktan,2016,UA,142 min,"Comedy, Drama            ",4.4
2931,Krishna,I 1996,A,156 min,"Action, Drama, Romance            ",5.0
2932,Jail,2009,UA,131 min,Drama            ,9.0
2933,Shrimaan Shrimati,1994–,U,22 min,Comedy            ,8.4
2934,Achcham Madam Naanam Payirppu,2022,18,80 min,"Comedy, Drama            ",5.9
2935,The Great Father,2017,UA,151 min,"Action, Crime, Drama            ",3.5
2936,Rajkahini,2015,A,160 min,"Drama, History            ",6.8
2937,Cash,2007,UA,137 min,"Action, Crime, Thriller            ",6.9
2938,Mini,2022,U,114 min,Drama            ,7.5
2939,Hey Prabhu!,2019,18,22 min,"Comedy, Romance            ",6.6
2940,Skylab,I 2021,U,148 min,Drama            ,3.9
2941,Dus Kahaniyaan,2007,A,110 min,Drama            ,9.4
2942,Takatak 2,2022,A,121 min,"Comedy, Romance            ",6.9
2943,Manjhi: The Mountain Man,2015,U,120 min,"Biography, Drama            ",4.1
2944,Josh,2000,UA,162 min,"Action, Drama, Musical            ",7.6
2945,Coolie,I 1983,U,177 min,"Action, Comedy, Drama            ",8.3
2946,Rowdy Boys,2022,UA,145 min,"Drama, Romance            ",6.0
2947,Pudhu Pettai,2006,UA,168 min,"Action, Crime, Drama            ",8.1
2948,Comedy Nights with Kapil,2013–2016,13,60 min,"Comedy, Talk-Show            ",6.8
2949,Tanu Weds Manu Returns,2015,UA,128 min,"Comedy, Drama, Romance            ",6.3
2950,Panghrun,2019,U,131 min,"Drama, Musical            ",8.0
2951,Sathi Leelavathi,1995,U,151 min,"Comedy, Drama            ",6.6
2952,Tera Chhalaava,2022–,Not Rated,120 min,"Crime, Drama, Thriller            ",4.8
2953,Bairan Palli,2022,UA,91 min,"Horror, Thriller            ",6.7
2954,Bhoot and Friends,2010,U,133 min,"Animation, Action, Adventure            ",5.4
2955,Ina,1982,A,128 min,"Drama, Romance            ",7.0
2956,Magalir Mattum,1994,Unrated,132 min,"Comedy, Drama, Thriller            ",5.1
2957,Middle Class Melodies,2020,13,135 min,"Comedy, Drama, Romance            ",4.8
2958,Bulandi,2000,U,175 min,"Action, Drama            ",8.5
2959,Phoonk,2008,A,110 min,"Drama, Horror, Mystery            ",7.7
2960,Kaafir,2019–,UA,45 min,"Drama, Thriller            ",6.4
2961,Taramani,2017,A,150 min,"Drama, Romance            ",7.5
2962,10 Endrathukulla,2015,U,144 min,"Action, Adventure, Thriller            ",5.4
2963,Endrendrum Punnagai,2013,UA,155 min,"Comedy, Romance            ",7.3
2964,Apna Time Bhi Aayega,2020–2021,UA,22 min,Drama            ,8.2
2965,Maa Tujhhe Salaam,2002,UA,162 min,"Action, Drama            ",8.6
2966,Junoon,1979,U,141 min,Drama            ,7.7
2967,Legend,II 2014,A,168 min,"Action, Drama            ",8.8
2968,Lakshmi,2014,A,115 min,Drama            ,6.7
2969,Ghoomketu,2020,UA,108 min,Comedy            ,5.5
2970,Sssshhh...,2003,A,163 min,"Horror, Mystery            ",7.8
2971,The Test Case,2018–,18,29 min,"Action, Drama            ",4.1
2972,Shaka Laka Boom Boom,2000–2004,G,20 min,"Adventure, Family, Fantasy            ",8.0
2973,Fitoor,2016,UA,131 min,"Drama, Romance            ",7.8
2974,King Fish,2022,U,122 min,"Drama, Thriller            ",8.3
2975,Ishqiya,2010,A,118 min,"Comedy, Drama, Romance            ",8.2
2976,Tholi Prema,2018,UA,137 min,Romance            ,5.5
2977,Mela,2000,UA,172 min,"Action, Adventure, Comedy            ",7.4
2978,Munthirivallikal Thalirkkumbol,2017,U,154 min,"Comedy, Romance            ",2.7
2979,Yagavarayinum Naa Kakka,2015,UA,151 min,Thriller            ,9.6
2980,Woh Lamhe ...,2006,A,156 min,"Biography, Drama, Romance            ",8.6
2981,Tansener Tanpura,2020–,13,23 min,Drama            ,6.7
2982,Yudh,1985,U,155 min,"Action, Crime, Drama            ",7.4
2983,Ravi Bopanna,2022,UA,120 min,Drama            ,7.3
2984,Jurm,2005,A,150 min,"Crime, Drama, Mystery            ",8.1
2985,Lingaa,2014,U,174 min,"Action, Comedy, Drama            ",7.7
2986,Love Story,III 2020,U,139 min,Drama            ,9.2
2987,Ekannoborti,2021,U,133 min,Drama            ,7.3
2988,Right Yaaa Wrong,2010,UA,135 min,"Crime, Drama, Mystery            ",7.3
2989,Krishnakanter Will,2007,UA,145 min,"Drama, Family, Musical            ",9.6
2990,Velle,2021,U,125 min,"Comedy, Crime, Drama            ",8.1
2991,Erida,2021,UA 13+,124 min,Thriller            ,4.8
2992,Iraivi,2016,UA,160 min,"Crime, Drama            ",7.4
2993,Dulhan Hum Le Jayenge,2000,U,158 min,"Comedy, Drama, Romance            ",7.6
2994,Kissebaaz,2019,UA,122 min,"Action, Comedy, Crime            ",6.2
2995,Ta Ra Rum Pum,2007,U,153 min,"Comedy, Drama, Family            ",5.9
2996,Naa Peru Surya Na Illu India,2018,UA,163 min,"Action, Drama            ",7.5
2997,Blue,I 2009,UA,119 min,"Action, Adventure, Mystery            ",6.2
2998,Murder 3,2013,UA,124 min,"Drama, Mystery, Thriller            ",5.7
2999,Veerame Vaagai Soodum,2022,UA,166 min,"Action, Thriller            ",7.7
3000,Deewana,1992,U,185 min,"Action, Comedy, Crime            ",5.8
3001,The Conversion,II 2022,UA,134 min,Drama            ,9.1
3002,Gathbandhan,2019,13,20 min,"Drama, Romance            ",5.8
3003,Neetho,2022,UA,130 min,Drama            ,3.7
3004,Chimera Strain,2018,R,80 min,"Drama, Sci-Fi, Thriller            ",8.0
3005,Anandi Gopal,2019,U,134 min,Biography            ,5.0
3006,The Warrior,2001,R,86 min,"Adventure, Drama            ",6.5
3007,Paran Jai Jaliya Re,2009,U,155 min,"Action, Adventure, Romance            ",8.7
3008,Kochadaiiyaan,2014,U,118 min,"Animation, Action, Adventure            ",5.0
3009,Ranarangam,2019,UA,138 min,"Action, Crime, Drama            ",7.9
3010,Kumkum: Ek Pyara Sa Bandhan,2002–2009,PG,20 min,"Drama, Family            ",6.3
3011,Anaganaga O Dheerudu,2011,U,133 min,"Action, Adventure, Family            ",6.8
3012,Yaara Ve,2019,U,118 min,"Drama, Family            ",6.7
3013,Guddiyan Patole,2019,UA,127 min,"Comedy, Drama            ",4.5
3014,Old Monk,2022,UA,129 min,"Comedy, Romance            ",7.7
3015,Guvva Gorinka,2020,13,117 min,Romance            ,7.4
3016,Dhilluku Dhuddu,2016,UA,160 min,"Comedy, Horror            ",5.2
3017,Unda,2019,U,130 min,"Action, Comedy, Thriller            ",2.7
3018,Time Please,2013,UA,131 min,Romance            ,8.8
3019,Prem Geet,1981,U,150 min,Romance            ,8.0
3020,Penguin,2020,18,132 min,"Drama, Mystery, Thriller            ",3.2
3021,Gulaab Gang,2014,UA,139 min,"Action, Drama            ",7.3
3022,Run Raja Run,2014,U/A,137 min,"Comedy, Romance, Thriller            ",8.3
3023,P.O.W. Bandi Yuddh Ke,2016–2017,UA 13+,24 min,"Drama, Thriller            ",4.3
3024,Aaviri,2019,UA,110 min,"Drama, Thriller            ",8.4
3025,Shylock,2020,UA,130 min,"Action, Drama, Thriller            ",3.3
3026,Ek Main Aur Ekk Tu,2012,UA,110 min,"Comedy, Drama, Romance            ",3.3
3027,Sunny,I 2021,U,93 min,"Crime, Drama, Thriller            ",8.4
3028,Dha Dha,2022,UA,123 min,"Crime, Thriller            ",7.0
3029,Prati Roju Pandaage,2019,U,146 min,"Drama, Family            ",8.9
3030,Prema Nagar,1971,U,170 min,"Drama, Musical, Romance            ",6.3
3031,Doon Kaand,2022–,UA 16+,25 min,"Action, Crime, Thriller            ",7.1
3032,Adam Joan,2017,U,160 min,"Romance, Thriller            ",7.9
3033,Mr. And Mrs. Ramchari,2014,U,156 min,"Action, Drama, Romance            ",4.0
3034,Menaka,2019,13,35 min,Thriller            ,7.4
3035,Hundred,2020,15+,30 min,"Comedy, Drama            ",7.8
3036,1921,2018,A,144 min,"Horror, Mystery, Romance            ",6.9
3037,Ek Number,2022,UA,127 min,"Comedy, Drama, Romance            ",8.2
3038,Ram Lakhan,1989,U,174 min,"Action, Comedy, Drama            ",6.3
3039,Pushpa Impossible,2022–,UA 7+,20 min,Drama            ,8.5
3040,World Famous Lover,2020,UA,154 min,"Comedy, Drama, Romance            ",4.1
3041,Iruvar,1997,UA,140 min,"Biography, Drama            ",5.2
3042,Haatim Tai,1990,U,125 min,"Drama, Fantasy, Romance            ",9.4
3043,Crook: It's Good to Be Bad,2010,UA,121 min,"Action, Crime, Drama            ",5.3
3044,Mitron,2018,UA,119 min,Comedy            ,8.5
3045,Gopala Gopala,2015,U,153 min,"Comedy, Drama, Fantasy            ",7.9
3046,Kya Meri Sonam Gupta Bewafa Hai,2021,UA,136 min,"Comedy, Romance            ",7.1
3047,Anuraga Karikkin Vellam,2016,U,128 min,"Comedy, Family, Romance            ",7.0
3048,Teraa Surroor,2016,UA,106 min,"Action, Drama, Romance            ",7.1
3049,Simran,2017,UA,124 min,"Crime, Drama, Thriller            ",3.6
3050,Proloy,2013,A,122 min,Crime            ,5.6
3051,LoveShhuda,2016,UA,133 min,"Comedy, Romance            ",4.1
3052,Luv Shuv Tey Chicken Khurana,2012,UA,140 min,Comedy            ,4.1
3053,Quota - The Reservation,2022,UA,84 min,"Drama, History, Thriller            ",4.5
3054,Focus,III 2022,UA,119 min,"Action, Crime, Mystery            ",3.2
3055,Hippi,2019,A,143 min,"Action, Comedy, Romance            ",6.0
3056,Rahasya,2015,UA,123 min,"Mystery, Thriller            ",8.0
3057,Ramaiya Vastavaiya,2013,UA,148 min,"Action, Drama, Romance            ",6.3
3058,Roja,1992,U,137 min,"Drama, Romance, Thriller            ",6.0
3059,RangiTaranga,2015,UA,149 min,"Mystery, Thriller            ",7.0
3060,Sanam Re,2016,A,120 min,"Drama, Romance            ",8.3
3061,Last 6 Hours,2022,UA,120 min,"Drama, Thriller            ",7.0
3062,Saath Nibhana Saathiya,2010–2017,12+,22 min,Family            ,1.2
3063,Arishadvarga,2019,A,132 min,"Crime, Drama, Mystery            ",7.4
3064,Kaun Banega Crorepati?,2000–,U,60 min,Game-Show            ,7.5
3065,Thank You,2022,UA,126 min,Drama            ,7.1
3066,Saas Bahu Achaar Pvt. Ltd.,2022–,UA 13+,32 min,Drama            ,6.6
3067,Birohi,2021–,U,20 min,"Comedy, Drama            ",8.0
3068,M A PASS (Sarkari Naukri),2022,A,120 min,Drama            ,7.8
3069,F**k Buddies,2019–,A,12 min,Drama            ,7.3
3070,Kaushiki,2018,16,22 min,Thriller            ,7.1
3071,Saithan,2016,UA,123 min,"Action, Fantasy, Thriller            ",5.4
3072,Match Of Life,2022,UA,137 min,Comedy            ,5.0
3073,Behen Hogi Teri,2017,U/A,128 min,Comedy            ,7.5
